Question_ID,Questions,Answers
1,I'm feeling really lonely,Loneliness is tough but you're not alone in feeling this way. Try reaching out to old friends or joining community groups. Even small connections like chatting with a neighbor can help. Remember it's okay to feel this way and it will get better.
2,I feel depressed all the time,Depression is real and it's not your fault. Please talk to a therapist or counselor - they can really help. In the meantime try small steps like getting sunlight daily or talking to someone you trust. You deserve support.
3,My anxiety is overwhelming me,Anxiety can feel crushing but it's manageable. Try deep breathing - breathe in for 4 counts hold for 4 breathe out for 4. Also limit caffeine and try journaling your worries. Consider seeing a therapist for long-term help.
4,I can't sleep at night,Sleep problems often come from stress or anxiety. Try a bedtime routine - no screens 1 hour before bed keep your room cool and dark. If racing thoughts keep you up try writing them down. Talk to a doctor if it continues.
5,Work stress is killing me,Work stress is so common but it shouldn't consume you. Set boundaries - don't check emails after hours. Take actual lunch breaks. Talk to your manager about workload. Your mental health is more important than any job.
6,I feel burnt out,Burnout is your body saying stop. You need rest not more productivity tips. Take time off if possible. Say no to extra commitments. Do things that recharge you not drain you. Recovery takes time so be patient.
7,My relationship is falling apart,Relationship struggles hurt deeply. Try honest communication - use I feel statements not blame. Consider couples counseling. Sometimes relationships end and that's okay too. Your happiness matters.
8,I have no motivation anymore,Lost motivation often signals burnout or depression. Start super small - just get dressed or step outside. Don't judge yourself. Talk to someone about how you're feeling. Motivation often follows action not the other way around.
9,I'm worried about money constantly,Financial stress is exhausting. Make a simple budget to see where you stand. Look into financial counseling - many nonprofits offer free help. Remember your worth isn't tied to your bank account.
10,I feel like a failure,You're not a failure - you're human. Everyone struggles. Social media shows highlight reels not reality. List 3 things you did well today even tiny things. Be as kind to yourself as you'd be to a friend.
11,I can't stop overthinking everything,Overthinking is exhausting. Try the 5-5-5 rule - will this matter in 5 days 5 months 5 years. Write down your thoughts to get them out of your head. Distract yourself with activities that require focus.
12,I'm always angry lately,Anger often masks hurt fear or stress. Try to identify what's really bothering you. Physical exercise helps release anger energy. If it's impacting your life please talk to a counselor.
13,I have no friends,Making friends as an adult is hard. Try joining clubs or groups based on your interests. Volunteer work is great for meeting people. Start with being friendly to acquaintances. Quality matters more than quantity.
14,My family doesn't understand me,Family conflicts are painful. You can't control them but you can set boundaries. It's okay to limit contact if needed. Find your chosen family - people who support you. Therapy can help process these feelings.
15,I'm stuck in my career,Career stuckness is frustrating. Assess what you actually want not what you think you should want. Consider talking to a career counselor. Sometimes a side project or hobby brings fulfillment outside work.
16,I don't know who I am anymore,Identity confusion happens especially during transitions. Try new things to discover yourself. Journal about what makes you feel alive. It's okay not to have everything figured out. You're allowed to evolve.
17,Everything feels pointless,Feeling like nothing matters is a sign of depression. Please reach out to a mental health professional. You're experiencing a symptom not reality. Small joys can return with support and time.
18,I'm struggling with past trauma,Trauma impacts us deeply and that's valid. Please seek a trauma-informed therapist - you don't have to process this alone. Healing isn't linear. Be gentle with yourself as you work through it.
19,I think I drink too much,Recognizing a problem is brave. Track how much and when you drink. Consider talking to a doctor or addiction counselor. There's help available and you deserve support not judgment.
20,I'm exhausted all the time,Constant exhaustion can signal depression burnout or physical health issues. See a doctor to rule out medical causes. Make sure you're eating enough and staying hydrated. Rest is productive.
21,I feel guilty all the time,Excessive guilt often comes from perfectionism or anxiety. Ask yourself - would I judge a friend this harshly. Practice self-compassion. If guilt is overwhelming talk to a therapist about it.
22,My self-esteem is terrible,Low self-esteem takes time to rebuild. Stop comparing yourself to others. List your strengths and accomplishments. Challenge negative self-talk. Consider therapy to address root causes.
23,I'm afraid of failing,Fear of failure holds us back from living. Remember failure is how we learn and grow. What's the worst that could happen. Start with small risks. Your worth isn't defined by outcomes.
24,I feel so overwhelmed,Overwhelm means you need to pause. Make a list of everything bothering you then pick just one tiny thing to address. You don't have to do it all at once. Ask for help when you need it.
25,I'm lonely even around people,Feeling alone in a crowd often means you lack deep connections. Focus on quality relationships not quantity. Be vulnerable with people you trust. Consider joining support groups where people get real.
26,I can't focus on anything,Lack of focus can be stress ADHD or burnout. Remove distractions try the Pomodoro method. If it's ongoing see a doctor. Your brain might need rest not more pressure.
27,I keep having panic attacks,Panic attacks are terrifying but not dangerous. Learn grounding techniques - name 5 things you see 4 you hear 3 you touch. Breathe slowly. Therapy especially CBT helps manage them long-term.
28,I feel numb and empty,Emotional numbness is often a trauma response or depression. Your feelings are valid even if you can't feel them right now. Therapy can help you reconnect. Be patient - feeling will return.
29,I'm scared to leave my comfort zone,Fear of change is normal. Growth happens outside comfort zones. Start tiny - one small uncomfortable thing. Celebrate small wins. You're braver than you think.
30,I don't feel good enough,Not feeling good enough is painful. You ARE enough exactly as you are. Your worth is inherent not earned. Challenge where this belief came from. Therapy can help heal this wound.
31,I'm having relationship trust issues,Trust issues often stem from past hurt. That's valid and understandable. Therapy can help process past pain. In current relationships communicate your needs. Healing takes time.
32,My grief is unbearable,Grief has no timeline or right way to feel. What you're feeling is normal even if it's intense. Talk about your person. Join a grief support group. Be gentle - healing doesn't mean forgetting.
33,I'm addicted to my phone,Phone addiction is real. Set app limits. Keep phone out of bedroom. Notice when you reach for it - what feeling are you avoiding. Find offline activities you enjoy.
34,I feel like I'm wasting my life,This feeling often comes when we're not aligned with our values. What matters to you. Start small - one action toward what you care about. You're not wasting time you're learning.
35,I'm jealous of everyone else's life,Social media makes us compare our behind-the-scenes to everyone's highlight reel. Remember you don't see their struggles. Focus on your own path. Unfollow accounts that make you feel bad.
36,I can't stop procrastinating,Procrastination is often fear or perfectionism not laziness. Break tasks into tiny steps. Just do 5 minutes. Address why you're avoiding it. Be compassionate with yourself.
37,I feel disconnected from everything,Disconnection can be dissociation or depression. Grounding exercises help - cold water on your face strong scents movement. If it persists see a therapist. You're not broken.
